Date/Time,Word Count,en,zh-Hans
2024.12.19-14.54.51,4008,4008,0
2024.12.19-19.13.50,4008,4008,2299
2024.12.19-19.25.36,4008,4008,3927
2025.01.02-18.03.03,4534,4534,3921
2025.01.02-19.09.32,51932,51932,3925
2025.01.02-19.22.42,51932,51932,9256
2025.01.17-17.17.38,51264,51264,9168
2025.01.17-20.15.52,51264,51264,34252
2025.01.20-17.12.01,46599,46599,29902
2025.01.20-17.13.26,51276,51276,29902
2025.01.20-17.13.56,51276,51276,33077
2025.02.07-17.11.49,117069,117069,33070
2025.02.07-17.22.36,51912,51912,33070
2025.02.11-17.34.06,53452,53452,33060
2025.02.12-16.34.14,64479,64479,33016
2025.02.12-16.43.32,64479,64479,40769
2025.02.12-17.13.56,60603,60603,36912
2025.02.12-19.27.37,52248,52248,31498
2025.03.13-15.34.54,56324,56324,31428
2025.03.17-22.06.41,58956,58956,31428
2025.03.18-18.16.32,58955,58955,31428
